tradedate,index_name,close,predicted_score,sigmoid_score,dist_sma_50
1999-03-12,NSE500,742.91,0.13186778057365806,0.5329192559118121,0.10466668926823841
1999-03-15,NSE500,746.99,0.23335806672485596,0.5580762058086829,0.10619593524565119
1999-03-16,NSE500,736.74,0.15116263169711436,0.5377188618190624,0.08706365624271473
1999-03-17,NSE500,741.94,0.04342757576935765,0.5108551879635602,0.09081713515317502
1999-03-18,NSE500,755.27,0.15755598729674236,0.5393077162473752,0.10624926032296211
1999-03-19,NSE500,746.46,-0.026019175016575292,0.4934955731984223,0.09000555180600167
1999-03-20,NSE500,747.0,0.09233199241862476,0.5230666131478351,0.08786766868939178
1999-03-22,NSE500,749.79,0.09175023461961679,0.5229214812897077,0.08952187980341253
1999-03-23,NSE500,751.95,0.11458399159750712,0.5286146967143193,0.09032492683317273
1999-03-24,NSE500,749.95,0.10901319390259256,0.5272263409418784,0.08474569406801247
1999-03-25,NSE500,746.27,-0.0946000375628341,0.4763676121634793,0.07697591823716943
1999-03-26,NSE500,732.71,0.03497403270543909,0.5087426170428412,0.055334978943999635
1999-03-30,NSE500,736.35,-0.035159847443960134,0.49121094355054684,0.057987818808001634
1999-03-31,NSE500,758.25,0.14291224699068666,0.5356673767929202,0.08625766934445478
1999-04-01,NSE500,752.64,0.10511942548535491,0.5262556835094697,0.07482565357951021
1999-04-05,NSE500,714.77,-0.07423608210837564,0.4814494980021946,0.019464196877239326
1999-04-06,NSE500,716.75,-0.11755489650462912,0.4706450731109827,0.020836312404539203
1999-04-07,NSE500,722.41,-0.08348190339499802,0.4791416366355802,0.02718972232989114
1999-04-08,NSE500,714.7,0.069299014193041,0.517317823577212,0.015336453263695038
1999-04-09,NSE500,694.27,-0.04972911886841518,0.48757028171983613,-0.014349689711881664
1999-04-12,NSE500,694.32,-0.017393508230295673,0.4956517325668149,-0.014850456819257785
1999-04-13,NSE500,689.01,-0.06816107684347623,0.48296632505372805,-0.02331562663811959
1999-04-15,NSE500,667.99,-0.0004808945715998481,0.49987977635941694,-0.05371843225429185
1999-04-16,NSE500,718.73,-0.0725037374228145,0.48188200182790514,0.016526529428819936
1999-04-17,NSE500,667.77,-0.05194070759373568,0.48701774163853284,-0.05594811920526421
1999-04-19,NSE500,684.81,0.010099706146950861,0.502524905074226,-0.03280970046067977
1999-04-20,NSE500,686.55,-0.05760633945740704,0.4856023964411556,-0.03166814009761321
1999-04-21,NSE500,691.76,0.0820960417131604,0.520512490949925,-0.02568190717104646
1999-04-22,NSE500,680.56,-0.005436322407487341,0.49864092274526217,-0.04189768904416136
1999-04-23,NSE500,678.81,-0.04719099123590744,0.488204441158736,-0.04468064684919559
1999-04-26,NSE500,640.97,-0.12975353654485428,0.4676070503714158,-0.09709233219429236
1999-04-28,NSE500,648.67,0.0007629613427526433,0.5001907403264355,-0.08583641873700654
1999-04-29,NSE500,667.67,-0.04744110101251243,0.4881419486983507,-0.05899123048097765
1999-04-30,NSE500,680.6,0.028789068092657185,0.5071967699668558,-0.04074561943788202
1999-05-03,NSE500,676.25,-0.004775247613469013,0.49880619036516766,-0.04669496014938235
1999-05-04,NSE500,702.94,-0.21660244526945416,0.44606011372183785,-0.009621440215055621
1999-05-05,NSE500,714.36,0.29073820831482267,0.5721768489364593,0.00509300022708703
1999-05-06,NSE500,727.58,-0.011072503633247813,0.4972319023724387,0.021772956819215983
1999-05-07,NSE500,737.1,-0.11329620120087336,0.4717062082218562,0.033186436116530826
1999-05-10,NSE500,755.44,0.0032298133923271246,0.5008074526461569,0.05633074126049342
1999-05-11,NSE500,766.63,0.05670098740061706,0.5141714502835315,0.06881141835177496
1999-05-12,NSE500,756.68,0.02243531209680986,0.5056085927722431,0.05290548090262526
1999-05-13,NSE500,778.65,-0.023679964698935203,0.49408028544143545,0.08134539281452824
1999-05-14,NSE500,788.25,0.06996537254846902,0.5174842113942731,0.09292095030672476
1999-05-17,NSE500,776.92,-0.07546606250042764,0.4811424332113507,0.07550698002534961
1999-05-18,NSE500,783.32,0.13780313034782365,0.5343963684055111,0.08270714936139467
1999-05-19,NSE500,802.09,0.28413616167875283,0.5705599660271219,0.10659906040690714
1999-05-20,NSE500,797.24,-0.06993731577118367,0.48252279422659355,0.09813428467138197
1999-05-21,NSE500,781.83,-0.12084878868481462,0.46982451853440693,0.07589902515013591
1999-05-24,NSE500,782.99,-0.09248113818558239,0.47689617989428273,0.07599064549544443
1999-05-25,NSE500,788.08,-0.014998676879376904,0.4962504010724697,0.08164254629042511
1999-05-26,NSE500,775.83,0.060806933212545426,0.5151970510216957,0.06398706259315379
1999-05-27,NSE500,751.89,-0.11691923496035446,0.4708034436898709,0.03072701286431334
1999-05-28,NSE500,739.66,-0.084980229831873,0.47876771866110157,0.014024927415907662
1999-05-31,NSE500,772.28,0.0401409317306153,0.5100338856735174,0.058251229839538565
1999-06-01,NSE500,764.61,0.17041276610073147,0.5425003885228905,0.04722016399751827
1999-06-02,NSE500,768.43,-0.03286381413229355,0.4917847858436209,0.051834643375726186
1999-06-03,NSE500,776.87,-0.08182003504620794,0.4795563949731833,0.06259964393535689
1999-06-04,NSE500,786.69,0.005763510392285604,0.5014408736094891,0.0750097704557815
1999-06-07,NSE500,787.14,0.06384913396670866,0.5159568628988864,0.07453253862100429
1999-06-08,NSE500,800.03,0.048229702590881794,0.5120550889555424,0.09052816387842699
1999-06-09,NSE500,793.41,0.16055407502128224,0.5400525175122758,0.0797176493642755
1999-06-10,NSE500,795.86,0.1034508658056954,0.5258396757009431,0.08130037558700764
1999-06-11,NSE500,782.38,0.004539725868744581,0.5011349295180294,0.06228915587400907
1999-06-14,NSE500,769.54,-0.017770505821161423,0.49555749045275993,0.04437614695583236
1999-06-15,NSE500,761.08,-0.05761787018607726,0.4855995161496824,0.03159800913024147
1999-06-16,NSE500,778.12,-0.021532556860808492,0.494617068766647,0.052942954719338964
1999-06-17,NSE500,792.2,-0.12189973231556311,0.4695627478991726,0.06997489975569682
1999-06-18,NSE500,790.45,-0.12359641204149327,0.46914017174060185,0.06543118254032665
1999-06-21,NSE500,807.92,-0.11496329830781488,0.4712907882117433,0.08565248800288927
1999-06-22,NSE500,816.86,-0.059455519410399615,0.4851404972003627,0.09406265486251564
1999-06-23,NSE500,805.76,-0.03925003418955868,0.4901887509926566,0.07583131387982078
