Date,Drawdown
2016-11-18,-0.11848000323019214
2016-11-21,-0.1327274729111657
2016-11-22,-0.12291305837315758
2016-11-23,-0.11833493253140415
2016-11-24,-0.12087748741016313
2016-11-25,-0.10495635998317165
2016-11-28,-0.10180145404952856
2016-11-29,-0.09800670998123062
2016-11-30,-0.08972393661042666
2016-12-01,-0.09346370651918379
2016-12-02,-0.10425238532905279
2016-12-05,-0.09841138087784984
2016-12-06,-0.09824645839922763
2016-12-07,-0.10230385678533127
2016-12-08,-0.08799683176485529
2016-12-09,-0.0881968766231841
2016-12-12,-0.09938564514971049
2016-12-13,-0.0957955271197033
2016-12-14,-0.10054773780000226
2016-12-15,-0.10365225075406648
2016-12-16,-0.10445395724736883
2016-12-19,-0.10921991146755305
2016-12-20,-0.1111027764318232
2016-12-21,-0.11310169795512381
2016-12-22,-0.12180899400238099
2016-12-23,-0.12219992135911517
2016-12-26,-0.131124059924561
2016-12-27,-0.11973219241973121
2016-12-28,-0.11769967557671124
2016-12-29,-0.11025678519889082
2016-12-30,-0.10018735164301296
2017-01-02,-0.09809986064045229
2017-01-03,-0.09610857441708798
2017-01-04,-0.09633152517522536
2017-01-05,-0.08854351924028803
2017-01-06,-0.09323922870105905
2017-01-09,-0.0946792462690289
2017-01-10,-0.08996673914839826
2017-01-11,-0.08073108034555487
2017-01-12,-0.07797015588862022
2017-01-13,-0.08085935338448336
2017-01-16,-0.08141367615985229
2017-01-17,-0.08090821930407499
2017-01-18,-0.07852295160400213
2017-01-19,-0.07844659860463998
2017-01-20,-0.08437617253510288
2017-01-23,-0.07928953571759789
2017-01-24,-0.06944916115980648
2017-01-25,-0.05815960667412201
2017-01-27,-0.055911774372900735
2017-01-30,-0.054984848960644594
2017-01-31,-0.0631989046320226
2017-02-01,-0.05100227651391587
2017-02-02,-0.04860784645391947
2017-02-03,-0.04805046955857584
2017-02-06,-0.040661026280308876
2017-02-07,-0.042620244243941174
2017-02-08,-0.04065949922032164
2017-02-09,-0.03841319397908782
2017-02-10,-0.03482002182910593
2017-02-13,-0.03302267222412136
2017-02-14,-0.034913172488327704
2017-02-15,-0.04037088488273277
2017-02-16,-0.03246834944875221
2017-02-17,-0.0303243572266636
2017-02-20,-0.024298578517004343
2017-02-21,-0.021650656499125676
2017-02-22,-0.02303569990755483
2017-02-23,-0.022075179175579218
2017-02-27,-0.02372134984182661
2017-02-28,-0.024515421035192664
2017-03-01,-0.017474147434017095
2017-03-02,-0.021945379076663496
2017-03-03,-0.020412210849471868
2017-03-06,-0.015088879733944238
2017-03-07,-0.01575315082839468
2017-03-08,-0.016962582338290844
2017-03-09,-0.015357642291698892
2017-03-10,-0.014210820241279731
2017-03-14,0.0
2017-03-15,-0.00040835909736502973
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,-0.0017978060736230095
2017-03-21,-0.0016694991750018096
2017-03-22,-0.01020417217270464
2017-03-23,-0.00504623484812905
2017-03-24,-0.005918721758753742
2017-03-27,-0.010500032785996205
2017-03-28,-0.006519499942886364
2017-03-29,-0.004899814034408312
2017-03-30,-0.0007668224058778872
2017-03-31,0.0
2017-04-03,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,-0.0061383152149698805
2017-04-10,-0.009150829797158866
2017-04-11,-0.005115759547784426
2017-04-12,-0.007321856322470177
2017-04-13,-0.011376304448919461
2017-04-17,-0.013482530626372724
2017-04-18,-0.018610215021587995
2017-04-19,-0.01676037306389544
2017-04-20,-0.012269177400295539
2017-04-21,-0.014704827488022931
2017-04-24,-0.007447067220492931
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,-0.00036132747865968984
2017-04-28,-0.0025352401280434034
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,-0.00011261643025139989
2017-05-05,-0.006802921464265421
2017-05-08,-0.00213823037964167
2017-05-09,-0.0006771803766433271
2017-05-10,0.0
2017-05-11,-0.0005818937626802523
2017-05-12,-0.0024155186924357253
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,-0.0017431621104342376
2017-05-18,-0.009566275608556718
2017-05-19,-0.014399654927296224
2017-05-22,-0.019212646385095122
2017-05-23,-0.025224152811053724
2017-05-24,-0.03152982694487183
2017-05-25,-0.022230049804326413
2017-05-26,-0.01634378309557505
2017-05-29,-0.012869109080958507
2017-05-30,-0.010533242727461034
2017-05-31,-0.0105215925212091
2017-06-01,-0.0078973835629782
2017-06-02,-0.002309653389430899
2017-06-05,-0.00038736935787431204
2017-06-06,-0.002835368946545902
2017-06-07,-0.0003728066000594499
2017-06-08,-0.001210165174411748
2017-06-09,-0.0014766636424229374
2017-06-12,-0.005685300650906666
2017-06-13,-0.005589186449328709
2017-06-14,-0.0036727275208982
2017-06-15,-0.00619354089864399
2017-06-16,-0.005833840780617883
2017-06-19,-0.0029897341793830856
2017-06-20,-0.0034440922232055193
2017-06-21,-0.00365525221152041
2017-06-22,-0.005619768240739842
2017-06-23,-0.009748310081241995
2017-06-27,-0.016619019218275355
2017-06-28,-0.018465576909194703
2017-06-29,-0.019014592878813574
2017-06-30,-0.01651707991357143
2017-07-03,-0.01034392687586827
2017-07-04,-0.008584745731837873
2017-07-05,-0.004303294934280055
2017-07-06,-0.0035372938732203263
2017-07-07,-0.004217374663172513
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,-0.0004889974695209132
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,-0.004843364913860837
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,-0.0021605021500783472
2017-07-26,0.0
2017-07-27,-0.0011018793387913561
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,-0.0018574306660010809
2017-08-03,-0.003581987903334749
2017-08-04,-0.00022798283023961474
2017-08-07,-0.0016028731500279392
2017-08-08,-0.007635326811520682
2017-08-09,-0.013094326728238959
2017-08-10,-0.02286541907212669
2017-08-11,-0.031191687712716742
2017-08-14,-0.02211853053624968
2017-08-16,-0.014139131477864497
2017-08-17,-0.013045373359782508
2017-08-18,-0.016932270815216866
2017-08-21,-0.026577483068788155
2017-08-22,-0.02672574184182741
2017-08-23,-0.02200943445797554
2017-08-24,-0.020368797280852724
2017-08-28,-0.013441196310443937
2017-08-29,-0.02456619895906731
2017-08-30,-0.01702738021678918
2017-08-31,-0.011558589626379678
2017-09-01,-0.004797430108722467
2017-09-04,-0.009449398779745932
2017-09-05,-0.004851978147859537
2017-09-06,-0.006478628648280527
2017-09-07,-0.004042149566824471
2017-09-08,-0.005710760097350942
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,-0.0012631921648696975
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,-3.989527507253232e-05
2017-09-20,-0.0033567059026601287
2017-09-21,-0.0036414756247299396
2017-09-22,-0.016786280911580964
2017-09-25,-0.023602870152433564
2017-09-26,-0.02597319977140211
2017-09-27,-0.03820729222728536
2017-09-28,-0.0336069543016726
2017-09-29,-0.03298101119277497
2017-10-03,-0.028690205573760008
2017-10-04,-0.022748560986223798
2017-10-05,-0.022251933596526885
2017-10-06,-0.014608549172273166
2017-10-09,-0.013905566911511125
2017-10-10,-0.009793602180752647
2017-10-11,-0.010632778656417652
2017-10-12,-0.000844679272226645
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,-0.004966641638195379
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,-0.002819641367896808
2017-10-26,0.0
2017-10-27,0.0
2017-10-30,0.0
2017-10-31,-0.0002893942569605068
2017-11-01,0.0
2017-11-02,-0.00040857929612814203
2017-11-03,-0.0007568764010240647
2017-11-06,0.0
2017-11-07,-0.00802379709500567
2017-11-08,-0.010203711282424699
2017-11-09,-0.007155310718311436
2017-11-10,-0.00706832826147763
2017-11-13,-0.01402826299982396
2017-11-14,-0.016366083801187536
2017-11-15,-0.024020540002560486
2017-11-16,-0.01651997584020104
2017-11-17,-0.013183864072714546
2017-11-20,-0.011877789028564179
2017-11-21,-0.008362359580835643
2017-11-22,-0.007485844054279878
2017-11-23,-0.005946923664143622
2017-11-24,-0.0017731039277656402
2017-11-27,-0.0009153230842200433
2017-11-28,-0.00031581322788876154
2017-11-29,-0.0009969527744794204
2017-11-30,-0.010635947183306405
2017-12-01,-0.020007303263414045
2017-12-04,-0.019947084639452273
2017-12-05,-0.022484295995711556
2017-12-06,-0.026299480371605566
2017-12-07,-0.016153311329855535
2017-12-08,-0.007784260790801856
2017-12-11,-0.002095608113872216
2017-12-12,-0.008691554725160477
2017-12-13,-0.011282293747163719
2017-12-14,-0.008894959854987117
2017-12-15,-0.0034511962488358305
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-26,0.0
2017-12-27,-0.0015719000963053675
2017-12-28,-0.0036406727001170314
2017-12-29,0.0
2018-01-01,-0.0063497147727282766
2018-01-02,-0.004392744943450988
2018-01-03,-0.003850011977464929
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-15,0.0
2018-01-16,-0.0012486950785565165
2018-01-17,0.0
2018-01-18,-0.0010809731675984757
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,-0.00012584693066486352
2018-01-25,-0.004010741680287588
2018-01-29,0.0
2018-01-30,-0.006345116333105638
2018-01-31,-0.010289377837468305
2018-02-01,-0.006003388820985167
2018-02-02,-0.02787394959668421
2018-02-05,-0.03705052245878637
2018-02-06,-0.05388654823907202
2018-02-07,-0.05439225488704491
2018-02-08,-0.04335182757238909
2018-02-09,-0.04950542628881183
2018-02-12,-0.03932244712727839
2018-02-14,-0.04014860155218469
2018-02-15,-0.040430245106129914
2018-02-16,-0.04510177285423611
2018-02-19,-0.05305789031590846
2018-02-20,-0.05240447727075548
2018-02-21,-0.04942906959196447
2018-02-22,-0.05291894616262882
2018-02-23,-0.045792738373248376
2018-02-26,-0.03806193575473216
2018-02-27,-0.03876291526677389
2018-02-28,-0.04103859518265174
2018-03-01,-0.041561826318425754
2018-03-05,-0.04953546826789945
2018-03-06,-0.05696960634292647
2018-03-07,-0.06193905038365033
2018-03-08,-0.05664039632209272
2018-03-09,-0.05680687895620262
2018-03-12,-0.04322039391388144
2018-03-13,-0.04646492765533117
2018-03-14,-0.04924506247005345
2018-03-15,-0.05132296602360542
2018-03-16,-0.06412835960965191
2018-03-19,-0.07152494521081965
2018-03-20,-0.06783353703044315
2018-03-21,-0.06475548592310332
2018-03-22,-0.06937819545519197
2018-03-23,-0.07466182852720593
2018-03-26,-0.06779348105832661
2018-03-27,-0.06334851990250534
2018-03-28,-0.06576314397166305
2018-04-02,-0.05014757359180699
2018-04-03,-0.04764157183625817
2018-04-04,-0.05657655711653187
2018-04-05,-0.043573387168159394
2018-04-06,-0.043956422401525086
2018-04-09,-0.041196315572861186
2018-04-10,-0.042539442387898085
2018-04-11,-0.03695163427762327
2018-04-12,-0.03111097284336206
2018-04-13,-0.029108174237528872
2018-04-16,-0.0221697288174455
2018-04-17,-0.020190713445056407
2018-04-18,-0.021219651228803316
2018-04-19,-0.01786621531316135
2018-04-20,-0.014213611355772926
2018-04-23,-0.008511894074791249
2018-04-24,-0.008419264639271562
2018-04-25,-0.006788235524646247
2018-04-26,-0.003511156305851526
2018-04-27,-0.002836463525511368
2018-04-30,0.0
2018-05-02,-0.005441169244181365
2018-05-03,-0.014292552446658724
2018-05-04,-0.019693923424368265
2018-05-07,-0.013152083373078383
2018-05-08,-0.017194094811613048
2018-05-09,-0.017186632636649435
2018-05-10,-0.020856779022839
2018-05-11,-0.01336226796788198
2018-05-14,-0.012473025451404496
2018-05-15,-0.012427008705796605
2018-05-16,-0.013176957289623092
2018-05-17,-0.01668666691409848
2018-05-18,-0.022030827883754878
2018-05-21,-0.02973676722934293
2018-05-22,-0.028205777666008958
2018-05-23,-0.033844694546721565
2018-05-24,-0.02881021383804816
2018-05-25,-0.018989991586149446
2018-05-28,-0.01592925615530838
2018-05-29,-0.01701624630831744
2018-05-30,-0.017886833387386503
2018-05-31,-0.010371179503366301
2018-06-01,-0.015002702764013609
2018-06-04,-0.019746158649112333
2018-06-05,-0.025330352913426668
2018-06-06,-0.01698515391263644
2018-06-07,-0.009013063660018639
2018-06-08,-0.010700758897585483
2018-06-11,-0.009218273471513494
2018-06-12,-0.0032671889381631347
2018-06-13,-0.0016541154502310862
2018-06-14,-0.004722313056035654
2018-06-15,-0.002333173371904862
2018-06-18,-0.007102746869375842
2018-06-19,-0.01711076719118776
2018-06-20,-0.013661998662247155
2018-06-21,-0.01877358851220956
2018-06-22,-0.014644518365768078
2018-06-25,-0.017635606830283757
2018-06-26,-0.013858502602951406
2018-06-27,-0.022099231154253163
2018-06-28,-0.02751179539440818
2018-06-29,-0.014990265805741143
2018-07-02,-0.01919147031016266
2018-07-03,-0.014413190941901077
2018-07-04,-0.007927317202836903
2018-07-05,-0.007472124530066515
2018-07-06,-0.005444900331663005
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-16,-0.006754149388042974
2018-07-17,-0.004084675648461822
2018-07-18,-0.006289786261691632
2018-07-19,-0.011480088401466304
2018-07-20,-0.010833911140987751
2018-07-23,-0.0059470420493845655
2018-07-24,-9.459248870125059e-05
2018-07-25,-0.0026596459485472845
2018-07-26,-0.0020748923820307352
2018-07-27,0.0
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,-0.008024050386411186
2018-08-03,-0.000240951565851244
2018-08-06,-0.0011853848390369626
2018-08-07,-0.00021431370430002872
2018-08-08,0.0
2018-08-09,-0.0010790141001458808
2018-08-10,-0.0023909697230299898
2018-08-13,-0.005238166884376172
2018-08-14,-0.0002788056567493147
2018-08-16,-0.004993155852687559
2018-08-17,0.0
2018-08-20,0.0
2018-08-21,0.0
2018-08-23,0.0
2018-08-24,-0.00045734294845900525
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,-0.004361421656139397
2018-08-30,-0.004989643535524668
2018-08-31,-0.0005314827031532854
2018-09-03,-0.01130566276444489
2018-09-04,-0.022746527269165706
2018-09-05,-0.028096320268011232
2018-09-06,-0.021610133331502412
2018-09-07,-0.014944454429455023
2018-09-10,-0.029251362721574692
2018-09-11,-0.03758608379668238
2018-09-12,-0.028987952434485487
2018-09-14,-0.01840841625790135
2018-09-17,-0.02630373167711253
2018-09-18,-0.032091764799610845
2018-09-19,-0.036041753573704094
2018-09-21,-0.04294170445674661
2018-09-24,-0.058932806841095586
2018-09-25,-0.05058409937906272
2018-09-26,-0.05497699040578363
2018-09-27,-0.06013447058440935
2018-09-28,-0.06806708303542086
2018-10-01,-0.06410194234215882
2018-10-03,-0.0794683194438538
2018-10-04,-0.0989233836566491
2018-10-05,-0.11703692025687984
2018-10-08,-0.11453335699728939
2018-10-09,-0.12046708165025743
2018-10-10,-0.10980129608763511
2018-10-11,-0.12538213112218155
2018-10-12,-0.10520443691825676
2018-10-15,-0.10654713006306504
2018-10-16,-0.09983016774229225
2018-10-17,-0.10780240828959153
2018-10-19,-0.12139834191301935
2018-10-22,-0.1302260831272365
2018-10-23,-0.14004103015191594
2018-10-24,-0.13487655677982768
2018-10-25,-0.13819016494882952
2018-10-26,-0.14398635679703398
2018-10-29,-0.13065150239620782
2018-10-30,-0.1326247484848888
2018-10-31,-0.11827588103199371
2018-11-01,-0.1202537892496498
2018-11-02,-0.10982542020408459
2018-11-05,-0.10982542020408459
2018-11-06,-0.10982542020408459
2018-11-07,-0.10982542020408459
2018-11-09,-0.10982542020408459
2018-11-12,-0.10982542020408459
2018-11-13,-0.10982542020408459
2018-11-14,-0.10982542020408459
2018-11-15,-0.10982542020408459
2018-11-16,-0.10982542020408459
2018-11-19,-0.10982542020408459
2018-11-20,-0.10982542020408459
2018-11-21,-0.10982542020408459
2018-11-22,-0.10982542020408459
2018-11-26,-0.10982542020408459
2018-11-27,-0.10982542020408459
2018-11-28,-0.10982542020408459
2018-11-29,-0.10982542020408459
2018-11-30,-0.10982542020408459
2018-12-03,-0.10982542020408459
2018-12-04,-0.10982542020408459
2018-12-05,-0.10982542020408459
2018-12-06,-0.10982542020408459
2018-12-07,-0.10982542020408459
2018-12-10,-0.10982542020408459
2018-12-11,-0.10982542020408459
2018-12-12,-0.10982542020408459
2018-12-13,-0.10982542020408459
2018-12-14,-0.10982542020408459
2018-12-17,-0.10982542020408459
2018-12-18,-0.10982542020408459
2018-12-19,-0.10982542020408459
2018-12-20,-0.10982542020408459
2018-12-21,-0.10982542020408459
2018-12-24,-0.10982542020408459
2018-12-26,-0.10982542020408459
2018-12-27,-0.10982542020408459
2018-12-28,-0.10982542020408459
2018-12-31,-0.10982542020408459
2019-01-01,-0.10982542020408459
2019-01-02,-0.10982542020408459
2019-01-03,-0.10982542020408459
2019-01-04,-0.10982542020408459
2019-01-07,-0.10982542020408459
2019-01-08,-0.10982542020408459
2019-01-09,-0.10982542020408459
2019-01-10,-0.10982542020408459
2019-01-11,-0.10982542020408459
2019-01-14,-0.10982542020408459
2019-01-15,-0.10982542020408459
2019-01-16,-0.10982542020408459
2019-01-17,-0.10982542020408459
2019-01-18,-0.10982542020408459
2019-01-21,-0.10982542020408459
2019-01-22,-0.10982542020408459
2019-01-23,-0.10982542020408459
2019-01-24,-0.10982542020408459
2019-01-25,-0.10982542020408459
2019-01-28,-0.10982542020408459
2019-01-29,-0.10982542020408459
2019-01-30,-0.10982542020408459
2019-01-31,-0.10982542020408459
2019-02-01,-0.10982542020408459
2019-02-04,-0.10982542020408459
2019-02-05,-0.10982542020408459
2019-02-06,-0.10982542020408459
2019-02-07,-0.10982542020408459
2019-02-08,-0.10982542020408459
2019-02-11,-0.10982542020408459
2019-02-12,-0.10982542020408459
2019-02-13,-0.10982542020408459
2019-02-14,-0.10982542020408459
2019-02-15,-0.10982542020408459
2019-02-18,-0.10982542020408459
2019-02-19,-0.10982542020408459
2019-02-20,-0.10982542020408459
2019-02-21,-0.10982542020408459
2019-02-22,-0.10982542020408459
2019-02-25,-0.10982542020408459
2019-02-26,-0.10982542020408459
2019-02-27,-0.10982542020408459
2019-02-28,-0.10982542020408459
2019-03-01,-0.10982542020408459
2019-03-05,-0.10982542020408459
2019-03-06,-0.10982542020408459
2019-03-07,-0.10982542020408459
2019-03-08,-0.10982542020408459
2019-03-11,-0.10982542020408459
2019-03-12,-0.10982542020408459
2019-03-13,-0.10982542020408459
2019-03-14,-0.10982542020408459
2019-03-15,-0.10982542020408459
2019-03-18,-0.10982542020408459
2019-03-19,-0.10982542020408459
2019-03-20,-0.10982542020408459
2019-03-22,-0.10982542020408459
2019-03-25,-0.11587459535660993
2019-03-26,-0.10853434376323734
2019-03-27,-0.10632650153313195
2019-03-28,-0.0966395349041359
2019-03-29,-0.09222031977937795
2019-04-01,-0.0903914355439922
2019-04-02,-0.08911451186613284
2019-04-03,-0.09170366586732237
2019-04-04,-0.09305826416521756
2019-04-05,-0.08915805672888011
2019-04-08,-0.09337367019808984
2019-04-09,-0.0916448214582044
2019-04-10,-0.09683136767786027
2019-04-11,-0.09414570884571716
2019-04-12,-0.09041968086036878
2019-04-15,-0.08461644523315714
2019-04-16,-0.08109990334426853
2019-04-18,-0.08745274575264217
2019-04-22,-0.10068567647508575
2019-04-23,-0.10205675120753388
2019-04-24,-0.09521667709166381
2019-04-25,-0.10025728917670707
2019-04-26,-0.09783643018559474
2019-04-30,-0.10699262024434708
2019-05-02,-0.11360673182920422
2019-05-03,-0.12087401635527051
2019-05-06,-0.12938409480190793
2019-05-07,-0.13314425254454465
2019-05-08,-0.14168022253119383
2019-05-09,-0.13914755916275734
2019-05-10,-0.14528856169830617
2019-05-13,-0.15731165136928493
2019-05-14,-0.15785772748589944
2019-05-15,-0.16057633918714853
2019-05-16,-0.15652784383983387
2019-05-17,-0.1452603163819296
2019-05-20,-0.12491309659712635
2019-05-21,-0.13221098021593403
2019-05-22,-0.13350673410471103
2019-05-23,-0.13989017560582595
2019-05-24,-0.12875445962434584
2019-05-27,-0.12563335216472993
2019-05-28,-0.12321484694998242
2019-05-29,-0.12461063633426006
2019-05-30,-0.12138949337914362
2019-05-31,-0.11683846677796184
2019-06-03,-0.11061805818448334
2019-06-04,-0.11061805818448334
2019-06-06,-0.11061805818448334
2019-06-07,-0.11061805818448334
2019-06-10,-0.11061805818448334
2019-06-11,-0.11061805818448334
2019-06-12,-0.11061805818448334
2019-06-13,-0.11061805818448334
2019-06-14,-0.11061805818448334
2019-06-17,-0.11289792317149083
2019-06-18,-0.11309191873533997
2019-06-19,-0.1126634230393655
2019-06-20,-0.10450388435109692
2019-06-21,-0.11285315496444859
2019-06-24,-0.11377943048634365
2019-06-25,-0.10910221876013548
2019-06-26,-0.10660372644330973
2019-06-27,-0.10775597481979826
2019-06-28,-0.10963304178649169
2019-07-01,-0.10625837170327068
