Date,PortfolioValue,Positions
2016-05-25,13113044.2128806,1
2016-05-26,13311138.5528806,1
2016-05-27,13415187.192880599,1
2016-05-30,13468746.9528806,1
2016-05-31,13400081.172880601,1
2016-06-01,13486472.2528806,1
2016-06-02,13551276.8528806,1
2016-06-03,13576589.0328806,1
2016-06-06,13529396.8328806,1
2016-06-07,13608742.9528806,1
2016-06-08,13636380.8728806,1
2016-06-09,13515058.5328806,1
2016-06-10,13489407.6528806,1
2016-06-13,13421667.6528806,1
2016-06-14,13397687.692880599,1
2016-06-15,13577898.672880601,1
2016-06-16,13497062.2728806,1
2016-06-17,13560737.8728806,1
2016-06-20,13656025.4728806,1
2016-06-21,13632339.0528806,1
2016-06-22,13611565.4528806,1
2016-06-23,13652728.792880598,1
2016-06-24,13486201.292880598,1
2016-06-27,13486923.8528806,1
2016-06-28,13553625.172880601,1
2016-06-29,13701908.0328806,1
2016-06-30,13835875.172880601,1
2016-07-01,13906821.5328806,1
2016-07-04,13925562.932880599,1
2016-07-05,13871099.9728806,1
2016-07-07,13883157.692880599,1
2016-07-08,13882773.8328806,1
2016-07-11,14063684.792880598,1
2016-07-12,14102567.5528806,1
2016-07-13,14071542.6328806,1
2016-07-14,14142240.612880599,1
2016-07-15,14100151.4928806,1
2016-07-18,14050385.172880601,1
2016-07-19,14061788.0728806,1
2016-07-20,14120157.3728806,1
2016-07-21,14107331.932880599,1
2016-07-22,14142872.8528806,1
2016-07-25,14280317.3128806,1
2016-07-26,14227186.5728806,1
2016-07-27,14265527.4128806,1
2016-07-28,14393601.172880601,1
2016-07-29,14362734.3128806,1
2016-08-01,14403762.172880601,1
2016-08-02,14418868.192880599,1
2016-08-03,14267130.5928806,1
2016-08-04,14258188.9128806,1
2016-08-05,14454160.7328806,1
2016-08-08,14524678.0728806,1
2016-08-09,14443728.7728806,1
2016-08-10,14255998.6528806,1
2016-08-11,14318883.9528806,1
2016-08-12,14411981.292880598,1
2016-08-16,14406629.8328806,1
2016-08-17,14364766.5128806,1
2016-08-18,14442825.5728806,1
2016-08-19,14428848.5528806,1
2016-08-22,14387391.672880601,1
2016-08-23,14381859.5728806,1
2016-08-24,14421419.7328806,1
2016-08-25,14316084.0328806,1
2016-08-26,14284584.932880599,1
2016-08-29,14293233.0728806,1
2016-08-30,14500540.0528806,1
2016-08-31,14589527.8328806,1
2016-09-01,14571734.792880598,1
2016-09-02,14619423.7528806,1
2016-09-06,14781480.4128806,1
2016-09-07,14700169.8328806,1
2016-09-08,14786583.4928806,1
2016-09-09,14627281.5928806,1
2016-09-12,14405162.1328806,1
2016-09-14,14431038.8128806,1
2016-09-15,14433567.7728806,1
2016-09-16,14507178.5728806,1
2016-09-19,14546851.6328806,1
2016-09-20,14474731.112880599,1
2016-09-21,14459241.2328806,1
2016-09-22,14599304.9728806,1
2016-09-23,14563199.5528806,1
2016-09-26,14413290.932880599,1
2016-09-27,14412274.8328806,1
2016-09-28,14440228.8728806,1
2016-09-29,14193316.5728806,1
2016-09-30,14236986.292880598,1
2016-10-03,14473737.5928806,1
2016-10-04,14519416.932880599,1
2016-10-05,14509752.692880599,1
2016-10-06,14471186.0528806,1
2016-10-07,14408323.3328806,1
2016-10-10,14443638.4528806,1
2016-10-13,14283613.9928806,1
2016-10-14,14274265.8728806,1
2016-10-17,14116318.7728806,1
2016-10-18,14303800.5128806,1
2016-10-19,14294429.8128806,1
2016-10-20,14281423.7328806,1
2016-10-21,14260943.672880601,1
2016-10-24,14230912.2728806,1
2016-10-25,14196026.172880601,1
2016-10-26,14178052.4928806,1
2016-10-27,14105638.432880599,1
2016-10-28,14181033.0528806,1
2016-10-30,14191848.8728806,1
2016-11-01,14169426.932880599,1
2016-11-02,14021234.3928806,1
2016-11-03,13973116.4128806,1
2016-11-04,13913166.5128806,1
2016-11-07,13954668.5528806,1
2016-11-08,13992241.672880601,1
2016-11-09,13738736.0128806,1
2016-11-10,13756077.4528806,1
2016-11-11,13387887.9728806,1
2016-11-15,13014753.4728806,1
2016-11-16,13072738.9128806,1
2016-11-17,12995876.5928806,1
2016-11-18,13034669.0328806,1
2016-11-21,12823997.6328806,1
2016-11-22,12969119.292880598,1
2016-11-23,13036814.1328806,1
2016-11-24,12999218.432880599,1
2016-11-25,13234637.5128806,1
2016-11-28,13281287.792880598,1
2016-11-29,13337399.0928806,1
2016-11-30,13459873.0128806,1
2016-12-01,13404574.5928806,1
2016-12-02,13245046.8928806,1
2016-12-05,13331415.3928806,1
2016-12-06,13333854.0328806,1
2016-12-07,13273858.9728806,1
2016-12-08,13485410.9928806,1
2016-12-09,13482453.0128806,1
2016-12-12,13317009.3528806,1
2016-12-13,13370094.932880599,1
2016-12-14,13299825.9728806,1
2016-12-15,13253920.8328806,1
2016-12-16,13242066.3328806,1
2016-12-19,13171594.1528806,1
2016-12-20,13143753.0128806,1
2016-12-21,13114195.792880598,1
2016-12-22,12985444.6328806,1
2016-12-23,12979664.1528806,1
2016-12-26,12847706.6328806,1
2016-12-27,13016153.432880599,1
2016-12-28,13046207.4128806,1
2016-12-29,13156262.3328806,1
2016-12-30,13305154.8528806,1
2017-01-02,13336021.7128806,1
2017-01-03,13365466.0328806,1
2017-01-04,13362169.3528806,1
2017-01-05,13477327.3528806,1
2017-01-06,13407893.8528806,1
2017-01-09,13386600.9128806,1
2017-01-10,13456282.792880598,1
2017-01-11,13592846.6328806,1
2017-01-12,13633671.2728806,1
2017-01-13,13590949.9128806,1
2017-01-16,13582753.3728806,1
2017-01-17,13590227.3528806,1
2017-01-18,13625497.3128806,1
2017-01-19,13626626.3128806,1
2017-01-20,13538948.172880601,1
2017-01-23,13614162.1528806,1
2017-01-24,13759667.672880601,1
2017-01-25,13926601.612880599,1
2017-01-27,13959839.3728806,1
2017-01-30,13973545.432880599,1
2017-01-31,13852087.612880599,1
2017-02-01,14032434.0728806,1
2017-02-02,14067839.5128806,1
2017-02-03,14076081.2128806,1
2017-02-06,14185345.8328806,1
2017-02-07,14156375.692880599,1
2017-02-08,14185368.4128806,1
2017-02-09,14218583.5928806,1
2017-02-10,14271714.3328806,1
2017-02-13,14298290.9928806,1
2017-02-14,14270336.9528806,1
2017-02-15,14189636.0328806,1
2017-02-16,14306487.5328806,1
2017-02-17,14338189.8528806,1
2017-02-20,14427290.5328806,1
2017-02-21,14466444.2528806,1
2017-02-22,14445964.192880599,1
2017-02-23,14460167.0128806,1
2017-02-27,14435825.7728806,1
2017-02-28,14424084.172880601,1
2017-03-01,14528200.5528806,1
2017-03-02,14462086.3128806,1
2017-03-03,14484756.6328806,1
2017-03-06,14563470.5128806,1
2017-03-07,14553648.2128806,1
2017-03-08,14535764.8528806,1
2017-03-09,14559496.432880599,1
2017-03-10,14576454.0128806,1
2017-03-14,14818918.0528806,1
2017-03-15,14812866.612880599,1
2017-03-16,14937914.6528806,1
2017-03-17,14958665.672880601,1
2017-03-20,14931772.8928806,1
2017-03-21,14933692.192880599,1
2017-03-22,14806024.8728806,1
2017-03-23,14883180.7328806,1
2017-03-24,14870129.4928806,1
2017-03-27,14801599.192880599,1
2017-03-28,14861142.6528806,1
2017-03-29,14885370.9928806,1
2017-03-30,14947195.0328806,1
2017-03-31,15006919.1328806,1
2017-04-03,15070865.692880599,1
2017-04-05,15117448.2328806,1
2017-04-06,15148202.192880599,1
2017-04-07,15055217.7528806,1
2017-04-10,15009583.5728806,1
2017-04-11,15070707.6328806,1
2017-04-12,15037289.2328806,1
2017-04-13,14975871.6328806,1
2017-04-17,14943966.0928806,1
2017-04-18,14866290.8928806,1
2017-04-19,14894312.672880601,1
2017-04-20,14962346.2128806,1
2017-04-21,14925450.4928806,1
2017-04-24,15035392.5128806,1
2017-04-25,15165679.112880599,1
2017-04-26,15185504.3528806,1
2017-04-27,15180017.4128806,1
2017-04-28,15147005.4528806,1
2017-05-02,15191217.0928806,1
2017-05-03,15238273.8128806,1
2017-05-04,15236557.7328806,1
2017-05-05,15134609.0328806,1
2017-05-08,15205690.8728806,1
2017-05-09,15227954.7528806,1
2017-05-10,15405320.6528806,1
2017-05-11,15396356.3928806,1
2017-05-12,15368108.8128806,1
2017-05-15,15422887.8928806,1
2017-05-16,15505304.8928806,1
2017-05-17,15478276.6328806,1
2017-05-18,15356976.8728806,1
2017-05-19,15282033.8528806,1
2017-05-22,15207406.9528806,1
2017-05-23,15114196.7128806,1
2017-05-24,15016425.3128806,1
