index_name,tradedate,open,high,low,close
N500MOM 50,2011-08-22 00:00:00,,,,3620.65
N500Q 50,2011-08-22 00:00:00,,,,2610.13
NSE500,2011-08-22 00:00:00,3924.95,3974.3,3900.55,3970.5
N500LOWVOL 50,2011-08-22 00:00:00,,,,3139.04
N500VALUE 50,2011-08-22 00:00:00,,,,2599.83
N500MOM 50,2011-08-23 00:00:00,,,,3672.76
N500Q 50,2011-08-23 00:00:00,,,,2636.2
NSE500,2011-08-23 00:00:00,3984.8,4020.45,3947.6,4010.7
N500LOWVOL 50,2011-08-23 00:00:00,,,,3161.08
N500VALUE 50,2011-08-23 00:00:00,,,,2620.42
N500MOM 50,2011-08-24 00:00:00,,,,3632.46
N500LOWVOL 50,2011-08-24 00:00:00,,,,3134.24
N500VALUE 50,2011-08-24 00:00:00,,,,2607.53
NSE500,2011-08-24 00:00:00,4002.25,4030.35,3960.05,3970.1
N500Q 50,2011-08-24 00:00:00,,,,2608.16
N500VALUE 50,2011-08-25 00:00:00,,,,2562.95
NSE500,2011-08-25 00:00:00,3984.1,3987.8,3921.65,3929.5
N500LOWVOL 50,2011-08-25 00:00:00,,,,3114.56
N500Q 50,2011-08-25 00:00:00,,,,2585.26
N500MOM 50,2011-08-25 00:00:00,,,,3602.85
N500VALUE 50,2011-08-26 00:00:00,,,,2506.81
NSE500,2011-08-26 00:00:00,3929.6,3949.3,3833.7,3851.55
N500LOWVOL 50,2011-08-26 00:00:00,,,,3068.46
N500Q 50,2011-08-26 00:00:00,,,,2547.57
N500MOM 50,2011-08-26 00:00:00,,,,3532.39
N500VALUE 50,2011-08-29 00:00:00,,,,2578.03
NSE500,2011-08-29 00:00:00,3883.6,3985.1,3883.6,3977.35
N500Q 50,2011-08-29 00:00:00,,,,2618.24
N500LOWVOL 50,2011-08-29 00:00:00,,,,3143.88
N500MOM 50,2011-08-29 00:00:00,,,,3644.3
N500VALUE 50,2011-08-30 00:00:00,,,,2618.76
N500LOWVOL 50,2011-08-30 00:00:00,,,,3172.48
NSE500,2011-08-30 00:00:00,4006.95,4047.7,3986.25,4038.35
N500Q 50,2011-08-30 00:00:00,,,,2660.63
N500MOM 50,2011-08-30 00:00:00,,,,3698.75
N500LOWVOL 50,2011-09-02 00:00:00,,,,3179.89
